pk,pair_pk,numeric
1,1,1
2,1,2
3,1,38
4,1,1
5,1,3
6,1,3
7,1,2
8,2,1
9,2,1
10,2,3
11,2,1
12,2,1
13,2,2
14,2,1
15,2,1
16,2,2
17,2,1
18,2,4
19,2,1
20,3,1
21,3,13
22,3,1
23,4,4
24,4,1
25,4,1
26,4,1
27,4,3
28,4,1
29,4,1
30,4,1
31,4,1
32,5,1
33,5,1
34,5,1
35,5,6
36,5,1
37,5,1
38,6,1
39,6,21
40,7,1
41,7,1
42,7,2
43,7,2
44,7,1
45,7,1
46,7,1
47,7,2
48,8,2
49,8,16
50,9,1
51,9,1
52,9,6
53,10,1
54,10,3
55,10,4
56,11,3
57,11,1
58,11,1
59,11,1
60,11,2
61,12,8
62,13,4
63,13,6
64,13,1
65,13,2
66,13,1
67,14,3
68,14,1
69,14,1
70,14,2
71,15,2
72,15,2
73,15,1
74,15,1
75,16,1
76,16,3
77,16,2
78,17,13
79,18,1
80,18,1
81,18,2
82,18,1
83,19,2
84,19,1
85,19,2
86,20,1
87,20,1
88,20,1
89,20,1
90,20,1
91,21,2
92,21,3
93,22,1
94,22,2
95,22,1
96,22,1
97,22,1
98,23,1
99,23,1
100,24,1
101,24,4
102,24,1
103,24,1
104,24,1
105,24,1
106,24,1
107,24,1
108,24,1
109,25,3
110,25,1
111,26,1
112,26,1
113,26,1
114,26,1
115,27,1
116,27,2
117,28,1
118,28,1
119,28,1
120,28,2
121,29,1
122,29,1
123,30,2
124,31,8
125,32,1
126,33,1
127,33,1
128,34,1
129,34,1
130,35,1
131,36,1
132,37,1
133,38,1
134,39,1
135,39,3
136,40,2
137,41,2
138,42,1
139,42,1
140,43,1
141,43,1
142,43,1
143,43,1
144,44,1
145,45,1
146,46,1
147,46,2
148,46,1
149,46,1
150,47,1
151,48,1
152,49,2
153,49,3
154,49,3
155,49,2
156,49,1
157,49,1
158,49,1
159,50,2
160,50,12
161,50,1
162,50,4
163,50,2
164,50,2
165,50,10
166,50,2
167,51,4
168,51,1
169,51,1
170,51,14
171,51,8
172,51,3
173,52,1
174,52,5
175,53,1
176,54,1
177,54,1
178,54,1
179,55,1
180,55,1
181,55,1
182,55,1
183,55,4
184,56,1
185,57,3
186,58,1
187,58,2
188,59,1
189,60,3
190,61,1
191,62,4
192,62,1
193,62,2
194,62,1
195,63,1
196,63,1
197,63,3
198,63,1
199,63,1
200,64,3
201,64,1
202,64,4
203,64,1
204,64,1
205,65,4
206,65,2
207,65,2
208,65,4
209,65,1
210,66,1
211,66,1
212,66,5
213,66,1
214,66,1
215,66,1
216,66,3
217,66,1
218,66,1
219,67,2
220,67,1
221,68,1
222,69,2
223,69,1
224,69,2
225,69,2
226,69,4
227,69,17
228,69,2
229,69,4
230,69,1
231,70,1
232,71,1
233,71,1
234,71,1
235,71,2
236,71,2
237,72,8
238,72,1
239,73,1
240,74,1
241,74,1
242,74,1
243,74,2
244,74,1
245,75,6
246,76,1
247,76,2
248,77,1
249,77,1
250,77,2
251,77,1
252,78,3
253,79,1
254,80,1
255,81,15
256,82,1
257,83,1
258,84,1
259,85,1
260,86,1
261,87,1
262,87,1
263,87,1
264,87,1
265,88,1
266,89,1
267,90,1
268,91,2
269,91,1
270,92,1
271,92,1
272,92,1
273,92,4
274,93,1
275,94,1
276,95,3
277,96,1
278,96,4
279,96,1
280,96,1
281,97,3
282,97,1
283,97,1
284,97,1
285,98,4
286,99,4
287,100,2
288,101,1
289,101,1
290,101,1
