ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Genus
bora,Bora,,,,,,Boran,
resigaro,Resígaro,,,,,,Arawakan,
gurindji,Gurindji,,,,,,Pama-Nyungan,
gurindjikriol,Gurindji Kriol,,,,,,Indo-European,Germanic
russian,Russian,,,,,,Indo-European,Slavic
copperislandaleut,Copper Island Aleut,,,,,,Eskimo-Aleut,
mongolian,Mongolian,,,,,,Mongolic-Khitan,
sakha,Sakha,,,,,,Turkic,
romanian,Romanian,,,,,,Indo-European,Romance
kalderashromani,Kalderash Romani,,,,,,Indo-European,Indo-Aryan
sebjankuoleven,Sebjan-Küöl Ėven,,,,,,Tungusic,
uzbek,Uzbek,,,,,,Turkic,
northerntajik,Northern Tajik,,,,,,Indo-European,Iranian
sanskrit,Sanskrit,,,,,,Indo-European,Indo-Aryan
indonesian,Indonesian,,,,,,Austronesian,Malayo-Polynesian
uchurevenki,Uchur Ėvenki,,,,,,Tungusic,
normanfrench,Norman French,,,,,,Indo-European,Romance
middleenglish,Middle English,,,,,,Indo-European,Germanic
visayan,Visayan,,,,,,Austronesian,Central Philippine
chabacano,Chabacano,,,,,,Indo-European,Romance
tigre,Tigre,,,,,,Afro-Asiatic,Semitic
bilin,Bilin,,,,,,Afro-Asiatic,Cushitic
bosniancroatianserbian,Bosnian/Croatian/Serbian,,,,,,Indo-European,Slavic
albanian,Albanian,,,,,,Indo-European,Albanian
spanish,Spanish,,,,,,Indo-European,Romance
cajamarcaquechua,Cajamarca Quechua,,,,,,Quechuan,
aymara,Aymara,,,,,,Aymaran,
uru,Uru,,,,,,Uru-Chipaya,
israelihebrew,Israeli Hebrew,,,,,,Afro-Asiatic,Semitic
dutch,Dutch,,,,,,Indo-European,Germanic
turkish,Turkish,,,,,,Turkic,
cappadociangreek,Cappadocian Greek,,,,,,Indo-European,Greek
greek,Greek,,,,,,Indo-European,Greek
cypriotarabic,Cypriot Arabic,,,,,,Afro-Asiatic,Semitic
libyanarabic,Libyan Arabic,,,,,,Afro-Asiatic,Semitic
siwi,Siwi,,,,,,Afro-Asiatic,Berber
nunggubuyu,Nunggubuyu,,,,,,Gunwinyguan,
warndarang,Warndarang,,,,,,Mangarrayi-Maran,
carib,Carib,,,,,,Cariban,
garifuna,Garifuna,,,,,,Arawakan,
chuvash,Chuvash,,,,,,Turkic,
mari,Mari,,,,,,Uralic,Mari
nepali,Nepali,,,,,,Indo-European,Indo-Aryan
chantyal,Chantyal,,,,,,Sino-Tibetan,Tibeto-Burman
ngandi,Ngandi,,,,,,Gunwinyguan,
ritharngu,Ritharngu,,,,,,Pama-Nyungan,
ilokano,Ilokano,,,,,,Austronesian,Northern Philippine
guinaangbontok,Guina-ang Bontok,,,,,,Austronesian,Central Cordilleran
kurdish,Kurdish,,,,,,Indo-European,Iranian
sonqorturkic,Sonqor Turkic,,,,,,Turkic,
croatian,Croatian,,,,,,Indo-European,Slavic
istroromanian,Istro-Romanian,,,,,,Indo-European,Romance
quapaw,Quapaw,,,,,,Siouan,
koasati,Koasati,,,,,,Muskogean,
aramaic,Aramaic,,,,,,Afro-Asiatic,Semitic
hasankeyfarabic,Hasankeyf Arabic,,,,,,Afro-Asiatic,Semitic
tamil,Tamil,,,,,,Dravidian,
srilankaportuguese,Sri Lanka Portuguese,,,,,,Indo-European,Romance
northernnyungic,Northern Nyungic,,,,,,Pama-Nyungan,
kayardild,Kayardild,,,,,,Tangkic,
arabic,Arabic,,,,,,Afro-Asiatic,Semitic
indonesianstandard,"Indonesian, standard",,,,,,Austronesian,Malayo-Polynesian
sicilian,Sicilian,,,,,,Indo-European,Romance
maltese,Maltese,,,,,,Afro-Asiatic,Semitic
sadri,Sadri,,,,,,Indo-European,Indo-Aryan
kharia,Kharia,,,,,,Austroasiatic,Munda
estonian,Estonian,,,,,,Uralic,Finnic
ingrianfinnish,Ingrian Finnish,,,,,,Uralic,Finnic
swahili,Swahili,,,,,,Atlantic-Congo,Bantu
malagasy,Malagasy,,,,,,Austronesian,Malayo-Polynesian
banjarmalay,Banjar Malay,,,,,,Austronesian,Malayo-Polynesian
intermediateprotocarib,intermediate Proto-Carib,,,,,,Cariban,
protowayampiemerillonzoe,Proto Wayampi-Emerillon-Zo’é,,,,,,Tupian,
english,English,,,,,,Indo-European,Germanic
